car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12193,8147,Kia,Kia Stinger,2.0 GT Line (A),204999,18400,82000,1749,70200,1210,35816,42142,12,Petrol,True
12193,8313,Kia,Kia Stinger,3.3 GT V6 (A),250999,-,100400,2142,70200,2920,-,-,10.4,Petrol,True
12194,6052,SEAT,SEAT Alhambra,1.4 TSI DSG Style (A),160999,-,64400,1374,70200,622,-,-,14.9,Petrol,True
12194,6274,SEAT,SEAT Alhambra,2.0 TSI DSG Style (A),165999,-,66400,1416,70200,1194,-,-,13.6,Petrol,True
12207,6088,Lamborghini,Lamborghini Urus,4.0 V8 (A),798000,-,-,-,70200,3942,179532,295158,7.8,Petrol,False
12208,6089,Opel,Opel Insignia Grandsport,1.5 Turbo Innovation (A),144500,13000,57800,1233,70200,678,25891,28247,16.3,Petrol,True
12209,6090,Toyota,Toyota Vios,1.5 E Grade (A),98888,9200,29666,984,47001,682,13891,13891,17.2,Petrol,True
12209,6091,Toyota,Toyota Vios,1.5 G Grade (A),104888,9700,31466,1044,47001,682,15705,15705,17.2,Petrol,True
12210,6171,SEAT,SEAT Arona,1.0 EcoTSI DSG Style (A),99999,9500,30000,995,47001,390,19363,9363,20,Petrol,True
12210,7198,SEAT,SEAT Arona,1.0 EcoTSI DSG Style Plus (A),101999,-,-,-,47001,390,-,-,20,Petrol,True
12210,6172,SEAT,SEAT Arona,1.0 EcoTSI DSG FR (A),107999,10500,43200,922,47001,390,21156,6618,20,Petrol,True
12210,8159,SEAT,SEAT Arona,1.5 EcoTSI DSG FR (A),125999,-,-,-,70200,684,-,-,20,Petrol,True
12211,8335,Land Rover,Land Rover Discovery,2.0 SE 7-Seater (A),379999,-,152000,3242,70200,1208,-,-,10.5,Petrol,True
12218,6142,Mitsubishi,Mitsubishi Eclipse Cross,1.5T Style (A),POA,-,-,-,70200,684,24594,26432,14.9,Petrol,True
12218,7318,Mitsubishi,Mitsubishi Eclipse Cross,1.5T Style Panoramic Roof (A),POA,-,-,-,70200,684,27157,30020,14.9,Petrol,True
12226,8218,Maserati,Maserati Quattroporte,3.0 V6 (A),428800,-,-,-,70200,2360,-,-,8.8,Petrol,False
12226,8219,Maserati,Maserati Quattroporte,3.8 V8 Trofeo (A),668800,-,-,-,70200,3634,-,-,7.9,Petrol,False
12230,7934,Hyundai,Hyundai i30 Hatchback,1.0 DCT Turbo (A),104999,9700,31500,1045,47001,390,16297,16297,18.9,Petrol,True
12232,7259,BMW,BMW X3,sDrive20i M Sport (A),270888,24300,108355,2311,70200,1210,45951,56331,13.5,Petrol,True
12232,6191,BMW,BMW X3,xDrive30i M Sport (A),302888,26500,121155,2585,70200,1210,57135,74843,14.3,Petrol,True
12237,6181,Maxus,Maxus G10 Executive MPV,2.0T 7-Seater (A),162999,14900,65200,1391,70200,1206,25389,27545,8.5,Petrol,True
12237,6190,Maxus,Maxus G10 Executive MPV,2.0T 9-Seater (A),162999,-,65200,1391,70200,1206,-,-,8.5,Petrol,True
12244,8079,Lexus,Lexus LS Hybrid,500h Luxury (A),581800,-,232720,4964,70200,3098,-,-,14.9,Petrol-Electric,True
12244,8102,Lexus,Lexus LS Hybrid,500h Ultra Luxury (A),621800,-,248720,5306,70200,3098,-,-,14.9,Petrol-Electric,True
12246,7328,Hyundai,Hyundai Ioniq Electric,38.3kWh (A),149888,-,59955,1279,70200,1060,-,-,11.7,Electric,True
12246,7353,Hyundai,Hyundai Ioniq Electric,38.3kWh Sunroof (A),154888,15200,61955,1322,70200,1060,39799,5000,11.7,Electric,True
12247,7317,SEAT,SEAT Ibiza,1.0 EcoTSI DSG Style Plus (A),95999,-,-,-,47001,390,-,-,21.2,Petrol,True
12247,8163,SEAT,SEAT Ibiza,1.5 EcoTSI DSG FR (A),111999,-,-,-,70200,684,-,-,20,Petrol,True
12247,8351,SEAT,SEAT Ibiza,1.5 FR Plus (A),116999,-,-,-,47001,684,-,-,20,Petrol,True
12254,8235,Opel,Opel Grandland,1.2 Turbo Elegance (A),121500,11500,48600,1037,47001,508,25242,12339,16.6,Petrol,True
12256,6271,Ssangyong,Ssangyong Rexton,2.0 7-Seater (A),199888,-,79955,1706,70200,1210,-,-,9.6,Petrol,True
12258,8006,Alfa Romeo,Alfa Romeo Giulia,Super (A),225000,-,90000,1920,70200,1206,-,-,16.7,Petrol,True
12258,7974,Alfa Romeo,Alfa Romeo Giulia,Veloce (A),260000,23300,104000,2219,70200,1206,43608,53051,15.9,Petrol,True
12258,7975,Alfa Romeo,Alfa Romeo Giulia,Quadrifoglio (A),395000,34900,158000,3370,70200,2258,66246,91243,12.2,Petrol,True
12262,8150,BMW,BMW X2,sDrive18i M Mesh Edition (A),216888,19300,86755,1851,70200,684,39438,47213,16.4,Petrol,True
12262,6614,BMW,BMW X2,sDrive18i M Sport X (A),216888,19300,86755,1851,70200,684,39377,47128,16.6,Petrol,True
12264,8455,SKODA,SKODA Kodiaq,1.5 TSI Ambition Plus 7-Seater (A),169900,-,67960,1450,70200,622,-,-,16.1,Petrol,True
12264,8456,SKODA,SKODA Kodiaq,1.5 TSI Sportline 7-Seater (A),184900,-,73960,1578,70200,622,-,-,16.4,Petrol,True
12264,6307,SKODA,SKODA Kodiaq,2.0 TSI 4X4 Style 7-Seater (A),199900,17900,79960,1706,70200,1194,35019,41027,13.5,Petrol,True
12264,6961,SKODA,SKODA Kodiaq,2.0 TSI Laurin & Klement 7-Seater (A),209900,18800,83960,1791,70200,1194,36610,43254,13.5,Petrol,True
12267,7655,SKODA,SKODA Superb,2.0 TSI Laurin & Klement (A),POA,-,-,-,70200,1194,33211,38495,13,Petrol,True
12267,7654,SKODA,SKODA Superb,2.0 TSI Ambition (A),159900,14400,63960,1364,70200,1194,27774,30884,13,Petrol,True
12270,6319,Porsche,Porsche Cayenne,3.0 (A),350988,-,-,-,70200,2380,93491,140284,10.8,Petrol,False
12270,6320,Porsche,Porsche Cayenne,S 2.9 (A),441488,-,-,-,70200,2260,102067,155721,10.6,Petrol,False
12270,6322,Porsche,Porsche Cayenne,Turbo 4.0 (A),614688,-,-,-,70200,3942,-,-,8.5,Petrol,False
12274,6346,BMW M Series,BMW M Series X3 M40i,3.0 (A),369888,31800,147955,3156,70200,2360,72807,103053,11.2,Petrol,True
12275,8191,Hyundai,Hyundai i30 Wagon,1.0 DCT Turbo (A),107999,10000,32400,1075,47001,390,16741,16741,18.9,Petrol,True
