year,level_1,level_2,value
2013,Total,Total,10503
2013,Total,1st - 20th,2022
2013,Total,21st - 40th,5299
2013,Total,41st - 60th,8378
2013,Total,61st - 80th,12270
2013,Total,81st - 100th,24544
