140,BEDOK,4 ROOM,700000
141,BEDOK,4 ROOM,588000
142,BEDOK,4 ROOM,670000
143,BEDOK,4 ROOM,618000
144,BEDOK,4 ROOM,668000
145,BEDOK,4 ROOM,380000
146,BEDOK,4 ROOM,340000
147,BEDOK,4 ROOM,410000
148,BEDOK,4 ROOM,428000
149,BEDOK,4 ROOM,455000
150,BEDOK,4 ROOM,360000
151,BEDOK,4 ROOM,340000
152,BEDOK,4 ROOM,530000
153,BEDOK,4 ROOM,418888
154,BEDOK,4 ROOM,560000
155,BEDOK,4 ROOM,440000
156,BEDOK,4 ROOM,355000
157,BEDOK,4 ROOM,389500
158,BEDOK,4 ROOM,680000
159,BEDOK,4 ROOM,650000
160,BEDOK,4 ROOM,385000
161,BEDOK,4 ROOM,410000
162,BEDOK,4 ROOM,410000
163,BEDOK,4 ROOM,360000
164,BEDOK,4 ROOM,375000
165,BEDOK,4 ROOM,375000
166,BEDOK,4 ROOM,410000
167,BEDOK,4 ROOM,420000
168,BEDOK,4 ROOM,415000
169,BEDOK,4 ROOM,394000
170,BEDOK,4 ROOM,395000
171,BEDOK,4 ROOM,368888
172,BEDOK,4 ROOM,505000
173,BEDOK,4 ROOM,560500
174,BEDOK,4 ROOM,523000
175,BEDOK,4 ROOM,558000
176,BEDOK,4 ROOM,555000
177,BEDOK,4 ROOM,517000
178,BEDOK,4 ROOM,340000
179,BEDOK,4 ROOM,328000
180,BEDOK,4 ROOM,350000
181,BEDOK,4 ROOM,480000
182,BEDOK,4 ROOM,470000
183,BEDOK,4 ROOM,530000
184,BEDOK,4 ROOM,410000
185,BEDOK,4 ROOM,585000
186,BEDOK,4 ROOM,624000
187,BEDOK,4 ROOM,654000
188,BEDOK,4 ROOM,655000
189,BEDOK,4 ROOM,660000
190,BEDOK,4 ROOM,600000
191,BEDOK,4 ROOM,685000
192,BEDOK,4 ROOM,500000
193,BEDOK,4 ROOM,640000
194,BEDOK,4 ROOM,380000
195,BEDOK,4 ROOM,385000
196,BEDOK,4 ROOM,350000
197,BEDOK,4 ROOM,376000
198,BEDOK,4 ROOM,372000
199,BEDOK,4 ROOM,380000
200,BEDOK,4 ROOM,418000
201,BEDOK,4 ROOM,376000
202,BEDOK,5 ROOM,838000
203,BEDOK,5 ROOM,513000
204,BEDOK,5 ROOM,521000
205,BEDOK,5 ROOM,608000
206,BEDOK,5 ROOM,528000
207,BEDOK,5 ROOM,540000
208,BEDOK,5 ROOM,500000
209,BEDOK,5 ROOM,658000
210,BEDOK,5 ROOM,438000
211,BEDOK,5 ROOM,810000
